timestamp	matrix	M	N	nz_header	nz_used	ranks	threads	sched	chunk	warmup	repeats	trials	sort_rows	p90_e2e_ms	p90_comp_ms	p90_comm_ms	gflops_e2e	gbps_e2e	gflops_comp	gbps_comp	commKiB_max	memMiB_max	validation	validation_performed	relL2	maxAbs
2026-02-05_12:42:15	matrices/./irreg_50k.mtx	50000	50000	1050000	1049999	2	4	dynamic	64	2	2	1	0	0.462676	0.402897	0.061205	4.53880902	46.252626	5.21224531	53.1152627	390.609375	7.9154892	0	0	0	0
2026-02-05_13:07:59	matrices/./irreg_50k.mtx	50000	50000	1050000	1049999	2	4	dynamic	64	2	2	1	0	0.472156	0.407353	0.064803	4.44767831	45.3239607	5.155229	52.5342393	390.609375	7.9154892	1	1	0.00131206873	13.1922743
2026-02-05_13:09:26	matrices/./irreg_50k.mtx	50000	50000	1050000	1049999	2	4	dynamic	64	2	2	1	0	0.513113	0.444916	0.068197	4.09266185	41.7061739	4.71998759	48.098922	390.609375	7.9154892	1	1	0.00131206873	13.1922743
2026-02-05_13:28:39	matrices/./irreg_50k.mtx	50000	50000	1050000	1050000	2	4	dynamic	64	2	2	1	0	0.565018	0.497307	0.067711	3.71669575	37.8748996	4.2227437	43.0317691	390.609375	7.9154892	1	1	0	0
